Groupe;Numéro;Libellé groupe;Sexe;Boursier des lycées (code);Boursier des lycées;Boursier (Code);Boursier;Type établissement;Type établissement (Code);UAI établissement;Libellé établissement;Commune établissement;Département établissement;Pays établissement;Pays établissement (Code);Série/Domaine/Filière;Spécialité/Mention/Voie;Spécialité (Code);Série diplôme;Série diplôme (Code);Dominante diplôme (Code);Dominante diplôme;Spécialité diplôme;Spécialité diplôme (Code);Date de validation;Candidature validée (O/N);Candidature validée (Code)
101103;1013807;Bac STMG;M;0;Non;0;Non boursier;I.U.T;3;0623985V;I.U.T. de Lens;Lens;62;France;99100;DUT - Service;Techniques de commercialisation;;Sciences et Technologies du Management et de la Gestion;STMG;;;Mercatique;206;30/03/2018;Oui;1
14084;1010353;Bac S;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0870669E;Université de Limoges;Limoges;87;France;99100;Licence - Sciences - technologies - santé;PACES - Médecine, Pharmacie, Odontologie (dentiste), Maïeutique (sage-femmes);;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;19/02/2018;Oui;1
14084;1152929;Bac S;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0870669E;Université de Limoges;Limoges;87;France;99100;Licence - Arts-lettres-langues;Langues étrangères appliquées;;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;28/03/2018;Oui;1
14119;1153268;Bac ES;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0860856N;Université de Poitiers;Poitiers;86;France;99100;Licence - Sciences humaines et sociales;Géographie et aménagement;;Economique et social;ES;;;Mathématiques;11;29/03/2018;Oui;1
14119;1085837;Bac ES;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0632035V;Université Clermont Auvergne;Clermont-Ferrand;63;France;99100;Licence - Droit-économie-gestion;Economie;;Economique et social;ES;;;Sciences sociales et politiques;353;27/03/2018;Oui;1
14119;1082863;Bac ES;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0750674A;Lycée Jules SIEGFRIED;Paris 10e  Arrondissement;75;France;99100;BTS - Services;Banque conseiller de clientèle;;Economique et social;ES;;;Mathématiques;11;31/03/2018;Oui;1
14084;1173667;Bac S;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0781944P;Université de Versailles - Saint Quentin en Yvelines;Versailles;78;France;99100;Licence - Sciences humaines et sociales;Mathématiques et informatique appliquées aux sciences humaines et sociales;;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;31/03/2018;Oui;1
101103;1095884;Bac STMG;M;0;Non;2;Boursier de l'enseignement supérieur;Lycée à classe postbac;1;9710002A;Lycée Gerville Reache;Basse-Terre;971;France;99100;BTS - Services;Comptabilité et gestion;;Sciences et Technologies du Management et de la Gestion;STMG;;;Gestion et Finance;536;30/03/2018;Oui;1
14119;1106881;Bac ES;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0440984F;Université de Nantes;Nantes;44;France;99100;Licence - Sciences humaines et sociales;Sociologie;;Economique et social;ES;;;Sciences sociales et politiques;353;28/03/2018;Oui;1
14119;1079187;Bac ES;F;0;Non;0;Non boursier;Université;4;0442777E;Facultés libres de l'ouest - UCO - Nantes;Rezé;44;France;99100;Licence - Sciences humaines et sociales;Mathématiques et informatique appliquées aux sciences humaines et sociales;;Economique et social;ES;;;Mathématiques;11;31/03/2018;Oui;1
